"id","skill_id","project_id","credential_id","order","enabled"
"solidworks-garden","solidworks","garden-party-pinball","","1","true"
"solidworks-vividgrasp","solidworks","vividgrasp-ai-vision-robotics-arm","","2","true"
"printing-garden","3d-printing","garden-party-pinball","","1","true"
"printing-vividgrasp","3d-printing","vividgrasp-ai-vision-robotics-arm","","2","true"
"bambu-garden","bambu-studio","garden-party-pinball","","1","true"
"bambu-planter","bambu-studio","smart-self-watering-pot","","2","true"
"bambu-tetc","bambu-studio","","tetc","3","true"
"fast-garden","fast-pinball","garden-party-pinball","","1","true"
"arduino-planter","arduino-esp32","smart-self-watering-pot","","1","true"
"kicad-planter","kicad","smart-self-watering-pot","","1","true"
"wiring-garden","sensor-wiring","garden-party-pinball","","1","true"
"wiring-planter","sensor-wiring","smart-self-watering-pot","","2","true"
"soldering-garden","soldering","garden-party-pinball","","1","true"
"soldering-planter","soldering","smart-self-watering-pot","","2","true"
"soldering-tetc","soldering","","tetc","3","true"
"pump-planter","pump-motor-control","smart-self-watering-pot","","1","true"
"mpf-garden","mission-pinball-framework","garden-party-pinball","","1","true"
"python-vividgrasp","python","vividgrasp-ai-vision-robotics-arm","","1","true"
"pybullet-vividgrasp","pybullet","vividgrasp-ai-vision-robotics-arm","","1","true"
"electron-subpix","electron","subpix","","1","true"
"react-subpix","react","subpix","","1","true"
"typescript-subpix","typescript","subpix","","1","true"
"vite-subpix","vite","subpix","","1","true"
"laser-tetc","laser-cutting","","tetc","1","true"
"vex-tetc","vex-robotics","","tetc","1","true"
