"id","order","enabled","category","name"
"solidworks","1","true","Mechanical","SolidWorks"
"3d-printing","2","true","Mechanical","3D printing"
"laser-cutting","3","true","Mechanical","Laser cutting"
"fast-pinball","4","true","Electronics","FAST Pinball"
"arduino-esp32","5","true","Electronics","Arduino / ESP32"
"kicad","6","true","Electronics","KiCad"
"sensor-wiring","7","true","Electronics","Sensor wiring"
"pump-motor-control","8","true","Electronics","Pump / motor control"
"mission-pinball-framework","9","true","Software","Mission Pinball Framework"
"python","10","true","Software","Python"
"pybullet","11","true","Software","PyBullet"
"electron","12","true","Software","Electron"
"react","13","true","Software","React"
"typescript","14","true","Software","TypeScript"
"vite","15","true","Software","Vite"
